time, realDorsalTactorPos, realVentralTactorPos, boxPosX, boxPosY, boxPosZ, boxLocalRot_11, boxLocalRot_12, boxLocalRot_13, boxLocalRot_21, boxLocalRot_22, boxLocalRot_23, boxLocalRot_31, boxLocalRot_32, boxLocalRot_33, boxGlobalRot_11, boxGlobalRot_12, boxGlobalRot_13, boxGlobalRot_21, boxGlobalRot_22, boxGlobalRot_23, boxGlobalRot_31, boxGlobalRot_32, boxGlobalRot_33, indexPosX, indexPosY, indexPosZ, indexContact, indexForceX, indexForceY, indexForceZ, indexForceGlobalX, indexForceGlobalY, indexForceGlobalZ, thumbPosX, thumbPosY, thumbPosZ, thumbContact, thumbForceX, thumbForceY, thumbForceZ, thumbForceGlobalX, thumbForceGlobalY, thumbForceGlobalZ, hoopSuccess, targetSuccess, trialSuccess, 
92.5270632, 0.1, 0.1, 0.150001699, -0.199998866, -0.0199526974, 0.705334844, -0.708874289, -1.70533938e-005, 0.708874289, 0.705334843, 1.98711042e-005, -2.05776204e-006, -2.61044946e-005, 1, 0.70533519, -0.708873943, -6.25045433e-005, 0.708873945, 0.70533519, 2.45680848e-005, 2.66709788e-005, -6.16365769e-005, 0.999999998, 0.190232666, -0.246783374, 0.192862158, 0, 0, 0, 0, 0, 0, 0, 0.214927881, -0.23022583, 0.250058643, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
92.5280294, 0.1, 0.1, 0.150001688, -0.199998857, -0.0199572016, 0.705333685, -0.708875442, 2.06853993e-005, 0.708875443, 0.705333685, -2.02586287e-005, -2.29264567e-007, 2.89524648e-005, 1, 0.705333874, -0.708875254, 3.68351932e-005, 0.708875255, 0.705333872, -4.58126523e-005, 6.49434603e-006, 5.84247725e-005, 0.999999998, 0.189613843, -0.247470044, 0.191960059, 0, 0, 0, 0, 0, 0, 0, 0.214290967, -0.230932031, 0.249624609, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
92.5289481, 0.1, 0.1, 0.150001693, -0.199998864, -0.0199619745, 0.705332891, -0.708876232, -4.59990942e-006, 0.708876232, 0.705332891, 1.98580377e-005, -1.08324236e-005, -1.72672936e-005, 1, 0.705333005, -0.708876118, -1.52102249e-005, 0.708876118, 0.705333004, 4.53723663e-005, -2.14351133e-005, -4.27847926e-005, 0.999999999, 0.189613843, -0.247470044, 0.191960059, 0, 0, 0, 0, 0, 0, 0, 0.214290967, -0.230932031, 0.249624609, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
92.5299298, 0.1, 0.1, 0.150001687, -0.199998855, -0.0199652962, 0.705332269, -0.708876851, 1.41003667e-005, 0.708876852, 0.705332269, -8.15718206e-006, -4.16300608e-006, 1.57489473e-005, 1, 0.705332427, -0.708876693, 3.02466956e-005, 0.708876694, 0.705332427, -2.9871566e-005, -1.58718232e-007, 4.25105617e-005, 0.999999999, 0.189613843, -0.247470044, 0.191960059, 0, 0, 0, 0, 0, 0, 0, 0.214290967, -0.230932031, 0.249624609, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
92.5309976, 0.1, 0.1, 0.150001692, -0.199998863, -0.01996419, 0.705331597, -0.70887752, -3.58231384e-006, 0.70887752, 0.705331597, 5.75275045e-006, -1.55127632e-006, -6.59701841e-006, 1, 0.705331688, -0.70887743, -1.44164588e-005, 0.70887743, 0.705331687, 3.75545579e-005, -1.64531932e-005, -3.6707922e-005, 0.999999999, 0.189613843, -0.247470044, 0.191960059, 0, 0, 0, 0, 0, 0, 0, 0.214290967, -0.230932031, 0.249624609, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
92.5319304, 0.1, 0.1, 0.150001687, -0.199998853, -0.0199603085, 0.705331231, -0.708877884, 2.52264487e-005, 0.708877884, 0.705331231, 9.53285783e-006, -2.45506342e-005, 1.11586492e-005, 1, 0.705331318, -0.708877798, 2.23702925e-005, 0.708877798, 0.705331317, -4.17624486e-005, 1.38260047e-005, 4.53141666e-005, 0.999999999, 0.189613843, -0.247470044, 0.191960059, 0, 0, 0, 0, 0, 0, 0, 0.214290967, -0.230932031, 0.249624609, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
92.5329676, 0.1, 0.1, 0.150001696, -0.199998865, -0.0199547408, 0.705330166, -0.708878942, -4.57023954e-005, 0.708878942, 0.705330167, -1.34487217e-005, 4.17687938e-005, -2.29116766e-005, 0.999999999, 0.70533044, -0.708878668, -5.96045923e-005, 0.708878671, 0.70533044, 2.52992614e-005, 2.41068266e-005, -6.00967633e-005, 0.999999998, 0.189231079, -0.248344678, 0.19127168, 0, 0, 0, 0, 0, 0, 0, 0.214122266, -0.231659717, 0.249198877, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
92.5338087, 0.1, 0.1, 0.150001685, -0.199998858, -0.0199516972, 0.705328582, -0.708880518, 5.20928934e-005, 0.708880518, 0.705328584, 9.32122035e-006, -4.33502382e-005, 3.03531141e-005, 0.999999999, 0.705328886, -0.708880214, 7.13986761e-005, 0.708880216, 0.705328887, -1.06838158e-005, -4.27860031e-005, 5.81487128e-005, 0.999999997, 0.189231079, -0.248344678, 0.19127168, 0, 0, 0, 0, 0, 0, 0, 0.214122266, -0.231659717, 0.249198877, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
92.5344992, 0.1, 0.1, 0.150001689, -0.199998862, -0.0199545092, 0.705326952, -0.708882141, -1.32016837e-005, 0.708882141, 0.705326952, 9.88618788e-006, 2.30336132e-006, -1.63314326e-005, 1, 0.705327272, -0.708881822, -3.78358533e-005, 0.708881823, 0.705327272, 1.48732922e-005, 1.61432527e-005, -3.73116873e-005, 0.999999999, 0.189231079, -0.248344678, 0.19127168, 0, 0, 0, 0, 0, 0, 0, 0.214122266, -0.231659717, 0.249198877, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
92.5351901, 0.1, 0.1, 0.150001681, -0.199998861, -0.0199615887, 0.705325461, -0.708883625, 1.29801838e-005, 0.708883625, 0.705325461, -1.11144537e-005, -1.27639988e-006, 1.70407469e-005, 1, 0.705325731, -0.708883355, 4.35010652e-005, 0.708883356, 0.705325732, -8.44531579e-006, -2.46956768e-005, 3.67938796e-005, 0.999999999, 0.189231079, -0.248344678, 0.19127168, 0, 0, 0, 0, 0, 0, 0, 0.214122266, -0.231659717, 0.249198877, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
92.5358782, 0.1, 0.1, 0.150001692, -0.199998859, -0.019970381, 0.705324195, -0.708884883, -5.71726954e-005, 0.708884883, 0.705324197, -1.34441641e-005, 4.98556501e-005, -3.10463653e-005, 0.999999998, 0.705324431, -0.708884646, -7.26386408e-005, 0.708884647, 0.705324434, -1.50693773e-005, 6.19162584e-005, -4.08636173e-005, 0.999999997, 0.189231079, -0.248344678, 0.19127168, 0, 0, 0, 0, 0, 0, 0, 0.214122266, -0.231659717, 0.249198877, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
92.5365639, 0.1, 0.1, 0.150001687, -0.199998858, -0.0199782009, 0.705323099, -0.708885974, 5.39105392e-005, 0.708885975, 0.7053231, 1.42927195e-006, -3.90375395e-005, 3.72083266e-005, 0.999999999, 0.705323311, -0.708885762, 4.95210316e-005, 0.708885763, 0.705323312, -2.17353156e-006, -3.33875524e-005, 3.66377968e-005, 0.999999999, 0.189231079, -0.248344678, 0.19127168, 0, 0, 0, 0, 0, 0, 0, 0.214122266, -0.231659717, 0.249198877, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
92.5372629, 0.1, 0.1, 0.150001685, -0.19999886, -0.0199830393, 0.705322068, -0.708887, -3.67777622e-005, 0.708887001, 0.705322069, 9.34869127e-006, 1.93130016e-005, -3.26651158e-005, 0.999999999, 0.705322278, -0.708886792, -1.50099898e-005, 0.708886792, 0.705322278, 8.58405258e-006, 4.50175868e-006, -1.6694907e-005, 1, 0.189231079, -0.248344678, 0.19127168, 0, 0, 0, 0, 0, 0, 0, 0.214122266, -0.231659717, 0.249198877, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
92.5379641, 0.1, 0.1, 0.150001693, -0.199998861, -0.0199835158, 0.705321144, -0.70888792, -2.01102768e-005, 0.70888792, 0.705321144, 3.48026221e-006, 1.17170876e-005, -1.67106348e-005, 1, 0.705321318, -0.708887747, -3.84888382e-005, 0.708887747, 0.705321318, 5.76881343e-006, 2.30575569e-005, -3.13531329e-005, 0.999999999, 0.189044702, -0.248845459, 0.190704248, 0, 0, 0, 0, 0, 0, 0, 0.21402876, -0.23179043, 0.248816602, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
92.538649, 0.1, 0.1, 0.150001688, -0.199998861, -0.0199800356, 0.705320343, -0.708888718, 2.00708583e-005, 0.708888718, 0.705320343, -6.09330987e-006, -9.83690606e-006, 1.85257404e-005, 1, 0.70532049, -0.70888857, 2.96972201e-005, 0.708888571, 0.705320491, -5.01361936e-006, -1.73919604e-005, 2.45882284e-005, 1, 0.189044702, -0.248845459, 0.190704248, 0, 0, 0, 0, 0, 0, 0, 0.21402876, -0.23179043, 0.248816602, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
92.5393356, 0.1, 0.1, 0.15000169, -0.199998863, -0.0199738871, 0.705319764, -0.708889293, -4.0083273e-006, 0.708889293, 0.705319764, 2.45305557e-005, -1.45622958e-005, -2.01433461e-005, 1, 0.705319857, -0.708889201, -1.95966669e-005, 0.708889201, 0.705319857, 1.78176287e-005, 1.19119374e-006, -2.64589929e-005, 1, 0.189044702, -0.248845459, 0.190704248, 0, 0, 0, 0, 0, 0, 0, 0.21402876, -0.23179043, 0.248816602, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
92.5400453, 0.1, 0.1, 0.150001686, -0.19999886, -0.0199667849, 0.705319552, -0.708889504, -2.86634545e-006, 0.708889504, 0.705319552, -3.66095758e-005, 2.79738336e-005, 2.37895274e-005, 0.999999999, 0.70531956, -0.708889496, 1.08500338e-005, 0.708889496, 0.70531956, -3.57629772e-005, 1.76992578e-005, 3.29158023e-005, 0.999999999, 0.18858479, -0.248463794, 0.189561914, 0, 0, 0, 0, 0, 0, 0, 0.21402876, -0.23179043, 0.248816602, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
