time, realDorsalTactorPos, realVentralTactorPos, boxPosX, boxPosY, boxPosZ, indexPosX, indexPosY, indexPosZ, indexContact, indexForceX, indexForceY, indexForceZ, indexForceGlobalX, indexForceGlobalY, indexForceGlobalZ, thumbPosX, thumbPosY, thumbPosZ, thumbContact, thumbForceX, thumbForceY, thumbForceZ, thumbForceGlobalX, thumbForceGlobalY, thumbForceGlobalZ, hoopSuccess, targetSuccess, trialSuccess, 
68.3656276, 11.7, 6.9, 0.114749294, 0.165941262, -0.127934166, 0.103614771, 0.157470898, -0.127741919, 1, -1.87254652, 1.65777473, 1.83824728, -0.727892093, -2.40713828, 1.81924682, 0.115701562, 0.178785791, -0.150312061, 1, 2.39525773, -0.868676972, 0.232011807, 2.12548311, 0.98902084, -1.02462095, 1, 0, 0, 
68.3671314, 11.7, 7, 0.114586811, 0.166214386, -0.127102616, 0.103024268, 0.158175879, -0.125498755, 1, -1.67641048, 1.80787135, 2.15842798, -0.776909439, -2.29650903, 2.20454537, 0.11477915, 0.179726611, -0.147993311, 1, 2.1920654, -0.787327252, 0.571828928, 2.01337817, 1.12344973, -0.660448551, 1, 0, 0, 
68.3686314, 11.7, 7, 0.114421229, 0.166486068, -0.126269764, 0.103024268, 0.158175879, -0.125498755, 1, -1.47730464, 1.96212253, 2.48208434, -0.827352124, -2.1847551, 2.59527072, 0.11477915, 0.179726611, -0.147993311, 1, 1.98465757, -0.703249118, 0.916619951, 1.897657, 1.2602003, -0.290534421, 1, 0, 0, 
68.3701336, 11.7, 7, 0.114253281, 0.166755498, -0.125438266, 0.103024268, 0.158175879, -0.125498755, 1, -1.27910069, 2.11761254, 2.80212359, -0.878506138, -2.07398021, 2.9831378, 0.11477915, 0.179726611, -0.147993311, 1, 1.77774535, -0.619743646, 1.25900896, 1.78205832, 1.39565466, 0.0773335871, 1, 0, 0, 
68.3716446, 11.7, 7, 0.11408187, 0.167024276, -0.124601566, 0.102720947, 0.158649561, -0.122947266, 1, -1.56394312, 1.85796789, 2.14513807, -0.812000015, -2.20473103, 2.23145628, 0.114050195, 0.180430762, -0.145649658, 1, 2.16689028, -0.750330873, 0.644206506, 1.97559358, 1.18720314, -0.60082496, 1, 0, 0, 
68.3734266, 11.7, 7, 0.113875956, 0.167339304, -0.123610213, 0.102720947, 0.158649561, -0.122947266, 1, -1.33559044, 2.04036114, 2.51253272, -0.871881179, -2.07904617, 2.67900846, 0.114050195, 0.180430762, -0.145649658, 1, 1.92623108, -0.651816125, 1.03861414, 1.83857739, 1.34260098, -0.176083902, 1, 0, 0, 
68.3753007, 11.7, 7, 0.113656274, 0.167667045, -0.122566853, 0.102720947, 0.158649561, -0.122947266, 1, -1.69929583, 1.70632529, 1.89019597, -0.718801341, -2.27606913, 1.91698386, 0.114050195, 0.180430762, -0.145649658, 1, 2.22742673, -0.817260163, 0.445331487, 2.01287217, 1.08035836, -0.780279144, 1, 0, 0, 
68.3772214, 11.6, 7, 0.113424913, 0.168003567, -0.121483858, 0.102198413, 0.159326099, -0.120163623, 1, -1.44329135, 1.9147549, 2.30100883, -0.786524723, -2.13753891, 2.41998433, 0.113327832, 0.181379883, -0.143284521, 1, 1.95485181, -0.704456941, 0.885842909, 1.85516885, 1.25232716, -0.304052741, 1, 0, 0, 
68.3791212, 11.6, 7, 0.113190517, 0.168335707, -0.120404952, 0.102198413, 0.159326099, -0.120163623, 1, -1.18634872, 2.12643718, 2.71238127, -0.854498232, -2.00021386, 2.92491843, 0.112448389, 0.182121143, -0.141137256, 1, 2.24679195, -0.891974429, 0.438800855, 2.07126527, 1.06406312, -0.783497616, 1, 0, 0, 
68.3807573, 11.6, 7, 0.112983659, 0.168621284, -0.119470364, 0.101578125, 0.159808569, -0.117909717, 1, -1.44926624, 1.80785835, 2.29817583, -0.66213968, -2.13891766, 2.37422385, 0.112448389, 0.182121143, -0.141137256, 1, 1.9960669, -0.780595512, 0.846921914, 1.9201603, 1.22752208, -0.342144888, 1, 0, 0, 
