time, realDorsalTactorPos, realVentralTactorPos, boxPosX, boxPosY, boxPosZ, boxLocalRot_11, boxLocalRot_12, boxLocalRot_13, boxLocalRot_21, boxLocalRot_22, boxLocalRot_23, boxLocalRot_31, boxLocalRot_32, boxLocalRot_33, boxGlobalRot_11, boxGlobalRot_12, boxGlobalRot_13, boxGlobalRot_21, boxGlobalRot_22, boxGlobalRot_23, boxGlobalRot_31, boxGlobalRot_32, boxGlobalRot_33, indexForceX, indexForceY, indexForceZ, indexForceGlobalX, indexForceGlobalY, indexForceGlobalZ, indexContact, indexPosX, indexPosY, indexPosZ, indexRot_11, indexRot_12, indexRot_13, indexRot_21, indexRot_22, indexRot_23, indexRot_31, indexRot_32, indexRot_33, thumbForceX, thumbForceY, thumbForceZ, thumbForceGlobalX, thumbForceGlobalY, thumbForceGlobalZ, thumbContact, thumbPosX, thumbPosY, thumbPosZ, thumbRot_11, thumbRot_12, thumbRot_13, thumbRot_21, thumbRot_22, thumbRot_23, thumbRot_31, thumbRot_32, thumbRot_33, mapping, boxInitParam, trialSuccess, 
510.923831, 0.1, 0.1, 0.201032836, -0.0935196282, -0.0199605326, 0.224737087, 0.974419437, 4.51600712e-005, 0.974419437, -0.224737088, 3.22105484e-005, 4.15357274e-005, 3.67659464e-005, -0.999999998, 0.224737065, 0.974419442, 5.74689263e-005, 0.974419442, -0.224737068, 4.10596093e-005, 5.29246795e-005, 4.6771223e-005, -0.999999998, 0, 0, 0, 0, 0, 0, 0, 0.254553369, 0.0743278564, 0.00474260254, -0.369301359, 0.912310527, -0.176401434, -0.712890625, -0.15637207, 0.68359375, 0.596116503, 0.378174498, 0.708312841, 0, 0, 0, 0, 0, 0, 0, 0.299939111, 0.105711279, 0.0264783691, -0.651889932, 0.685940901, -0.323015542, -0.316650391, -0.633300781, -0.706054687, -0.688980791, -0.357872419, 0.630210502, 4, 4, 1, 
510.924686, 0.1, 0.1, 0.201032828, -0.0935196338, -0.0199605326, 0.224737198, 0.974419411, -4.86470236e-005, 0.974419412, -0.2247372, -3.19895773e-005, -4.21040609e-005, -4.02133561e-005, -0.999999998, 0.224737176, 0.974419416, -5.97188358e-005, 0.974419416, -0.224737179, -3.9724549e-005, -5.21294145e-005, -4.92636102e-005, -0.999999997, 0, 0, 0, 0, 0, 0, 0, 0.254357227, 0.0747975342, 0.00458234863, -0.368780897, 0.912842972, -0.175201751, -0.713012695, -0.156860352, 0.683227539, 0.596281254, 0.376854248, 0.708864381, 0, 0, 0, 0, 0, 0, 0, 0.299939111, 0.105711279, 0.0264783691, -0.65176853, 0.686381664, -0.322236093, -0.316650391, -0.632446289, -0.706787109, -0.688968032, -0.358562549, 0.629801454, 4, 4, 1, 
510.925485, 0.1, 0.1, 0.201032834, -0.0935196296, -0.0199615282, 0.224737307, 0.974419387, 4.25860086e-005, 0.974419387, -0.224737308, 2.70012595e-005, 3.58812157e-005, 3.54284421e-005, -0.999999999, 0.224737284, 0.974419391, 5.24373872e-005, 0.974419392, -0.224737286, 3.44850584e-005, 4.53875457e-005, 4.33459285e-005, -0.999999998, 0, 0, 0, 0, 0, 0, 0, 0.254357227, 0.0747975342, 0.00458234863, -0.368780897, 0.912842972, -0.175201751, -0.713012695, -0.156860352, 0.683227539, 0.596281254, 0.376854248, 0.708864381, 0, 0, 0, 0, 0, 0, 0, 0.29972417, 0.106172412, 0.0260748535, -0.65176853, 0.686381664, -0.322236093, -0.316650391, -0.632446289, -0.706787109, -0.688968032, -0.358562549, 0.629801454, 4, 4, 1, 
510.92628, 0.1, 0.1, 0.201032827, -0.0935196348, -0.0199636489, 0.224737428, 0.974419359, -4.5690344e-005, 0.974419359, -0.224737429, -3.1664991e-005, -4.11233106e-005, -3.74052471e-005, -0.999999998, 0.224737403, 0.974419364, -5.45777554e-005, 0.974419364, -0.224737405, -3.84217099e-005, -4.97045213e-005, -4.45468264e-005, -0.999999998, 0, 0, 0, 0, 0, 0, 0, 0.254357227, 0.0747975342, 0.00458234863, -0.368780897, 0.912842972, -0.175201751, -0.713012695, -0.156860352, 0.683227539, 0.596281254, 0.376854248, 0.708864381, 0, 0, 0, 0, 0, 0, 0, 0.29972417, 0.106172412, 0.0260748535, -0.65176853, 0.686381664, -0.322236093, -0.316650391, -0.632446289, -0.706787109, -0.688968032, -0.358562549, 0.629801454, 4, 4, 1, 
510.927078, 0.1, 0.1, 0.201032832, -0.0935196309, -0.0199660765, 0.224737556, 0.974419329, 3.65123228e-005, 0.974419329, -0.224737557, 2.71175147e-005, 3.46295207e-005, 2.94839891e-005, -0.999999999, 0.224737533, 0.974419334, 4.4903849e-005, 0.974419335, -0.224737534, 3.23959084e-005, 4.16587798e-005, 3.64746021e-005, -0.999999998, 0, 0, 0, 0, 0, 0, 0, 0.254357227, 0.0747975342, 0.00458234863, -0.368780897, 0.912842972, -0.175201751, -0.713012695, -0.156860352, 0.683227539, 0.596281254, 0.376854248, 0.708864381, 0, 0, 0, 0, 0, 0, 0, 0.29972417, 0.106172412, 0.0260748535, -0.65176853, 0.686381664, -0.322236093, -0.316650391, -0.632446289, -0.706787109, -0.688968032, -0.358562549, 0.629801454, 4, 4, 1, 
510.92788, 0.1, 0.1, 0.201032826, -0.0935196347, -0.0199679948, 0.224737662, 0.974419305, -3.79566204e-005, 0.974419305, -0.224737663, -2.63458295e-005, -3.4202167e-005, -3.10647636e-005, -0.999999999, 0.224737645, 0.974419308, -4.71098466e-005, 0.974419309, -0.224737647, -3.09099937e-005, -4.07066508e-005, -3.89581049e-005, -0.999999998, 0, 0, 0, 0, 0, 0, 0, 0.254357227, 0.0747975342, 0.00458234863, -0.368780897, 0.912842972, -0.175201751, -0.713012695, -0.156860352, 0.683227539, 0.596281254, 0.376854248, 0.708864381, 0, 0, 0, 0, 0, 0, 0, 0.29972417, 0.106172412, 0.0260748535, -0.65176853, 0.686381664, -0.322236093, -0.316650391, -0.632446289, -0.706787109, -0.688968032, -0.358562549, 0.629801454, 4, 4, 1, 
510.928672, 0.1, 0.1, 0.201032831, -0.0935196317, -0.0199688448, 0.224737728, 0.97441929, 3.52696608e-005, 0.97441929, -0.224737729, 2.27121086e-005, 3.00575402e-005, 2.92631701e-005, -0.999999999, 0.224737718, 0.974419292, 4.43049003e-005, 0.974419292, -0.22473772, 2.6401936e-005, 3.5683538e-005, 3.72380388e-005, -0.999999999, 0, 0, 0, 0, 0, 0, 0, 0.254357227, 0.0747975342, 0.00458234863, -0.368780897, 0.912842972, -0.175201751, -0.713012695, -0.156860352, 0.683227539, 0.596281254, 0.376854248, 0.708864381, 0, 0, 0, 0, 0, 0, 0, 0.29972417, 0.106172412, 0.0260748535, -0.65176853, 0.686381664, -0.322236093, -0.316650391, -0.632446289, -0.706787109, -0.688968032, -0.358562549, 0.629801454, 4, 4, 1, 
510.929496, 0.1, 0.1, 0.201032825, -0.093519635, -0.0199682944, 0.224737758, 0.974419283, -3.46965134e-005, 0.974419283, -0.224737759, -2.05791813e-005, -2.78503677e-005, -2.91840326e-005, -0.999999999, 0.224737754, 0.974419283, -4.56159705e-005, 0.974419284, -0.224737755, -2.59686244e-005, -3.55559592e-005, -3.8612951e-005, -0.999999999, 0, 0, 0, 0, 0, 0, 0, 0.25416792, 0.0752611084, 0.0044078125, -0.368095685, 0.913254849, -0.174306482, -0.713623047, -0.157348633, 0.682495117, 0.595925543, 0.375553093, 0.709834912, 0, 0, 0, 0, 0, 0, 0, 0.29972417, 0.106172412, 0.0260748535, -0.651474688, 0.686969349, -0.321514247, -0.31628418, -0.631225586, -0.707885742, -0.689428118, -0.359482723, 0.628772639, 4, 4, 1, 
510.930287, 0.1, 0.1, 0.201032832, -0.0935196312, -0.0199665652, 0.224737757, 0.974419283, 4.11015663e-005, 0.974419283, -0.224737758, 2.3184011e-005, 3.18280212e-005, 3.48398362e-005, -0.999999999, 0.224737757, 0.974419282, 5.14166413e-005, 0.974419283, -0.224737759, 2.86718971e-005, 3.94937101e-005, 4.36577089e-005, -0.999999998, 0, 0, 0, 0, 0, 0, 0, 0.25416792, 0.0752611084, 0.0044078125, -0.368095685, 0.913254849, -0.174306482, -0.713623047, -0.157348633, 0.682495117, 0.595925543, 0.375553093, 0.709834912, 0, 0, 0, 0, 0, 0, 0, 0.299510693, 0.10686167, 0.0261009766, -0.651474688, 0.686969349, -0.321514247, -0.31628418, -0.631225586, -0.707885742, -0.689428118, -0.359482723, 0.628772639, 4, 4, 1, 
510.931085, 0.1, 0.1, 0.201032825, -0.093519635, -0.0199644959, 0.224737736, 0.974419288, -4.07779598e-005, 0.974419288, -0.224737737, -2.32429143e-005, -3.18126904e-005, -3.45112706e-005, -0.999999999, 0.224737739, 0.974419286, -5.15223555e-005, 0.974419287, -0.224737741, -2.93148639e-005, -4.01439866e-005, -4.36162207e-005, -0.999999998, 0, 0, 0, 0, 0, 0, 0, 0.25416792, 0.0752611084, 0.0044078125, -0.368095685, 0.913254849, -0.174306482, -0.713623047, -0.157348633, 0.682495117, 0.595925543, 0.375553093, 0.709834912, 0, 0, 0, 0, 0, 0, 0, 0.299510693, 0.10686167, 0.0261009766, -0.651474688, 0.686969349, -0.321514247, -0.31628418, -0.631225586, -0.707885742, -0.689428118, -0.359482723, 0.628772639, 4, 4, 1, 
